año;fluencia medida;fluencia calculada;uno menos gamma index
2019;1.3.6.1.4.1.9590.100.1.2.190727149413805451333206478261481414648;1.3.6.1.4.1.9590.100.1.2.266447459412025533907550130074057505168;6.6815
2019;1.3.6.1.4.1.9590.100.1.2.421549189812944389505162513000826861905;1.3.6.1.4.1.9590.100.1.2.86085155111790019324741195981690850786;3.5095
2019;1.3.6.1.4.1.9590.100.1.2.318111994212799857005935171852828115164;1.3.6.1.4.1.9590.100.1.2.143145627012210047237175924952043276379;2.7246
2019;1.3.6.1.4.1.9590.100.1.2.29163646913403002310235744052645611307;1.3.6.1.4.1.9590.100.1.2.314109839011190398406598347673195529093;4.6235
2019;1.3.6.1.4.1.9590.100.1.2.330444971010965552930233908903063763154;1.3.6.1.4.1.9590.100.1.2.342904273911118122739530001230463459307;4.0014
2019;1.3.6.1.4.1.9590.100.1.2.117111588412865729801177307310520527927;1.3.6.1.4.1.9590.100.1.2.189485955411711008602298833212808936348;2.9186
2019;1.3.6.1.4.1.9590.100.1.2.106363004312018285639264237160955287698;1.3.6.1.4.1.9590.100.1.2.250681179813913418312485712811639382340;2.2345
2019;1.3.6.1.4.1.9590.100.1.2.225990696211768600614109735753330260661;1.3.6.1.4.1.9590.100.1.2.384142289612482598518084658210846605065;1.5607
2019;1.3.6.1.4.1.9590.100.1.2.211756715011326913522973909883744936800;1.3.6.1.4.1.9590.100.1.2.310552899912770926928572980550460292364;5.105
2019;1.3.6.1.4.1.9590.100.1.2.427905022913732019723709695262125386736;1.3.6.1.4.1.9590.100.1.2.398319425110646636400816283500948177385;3.7387
2019;1.3.6.1.4.1.9590.100.1.2.381675495312955992116168572530385493906;1.3.6.1.4.1.9590.100.1.2.378149831812545674138409770374175196938;3.4997
2019;1.3.6.1.4.1.9590.100.1.2.395389317212135515531735909693324428434;1.3.6.1.4.1.9590.100.1.2.154339861212399179509614404050056378595;3.6288
2019;1.3.6.1.4.1.9590.100.1.2.342854140211669747939854885124058913710;1.3.6.1.4.1.9590.100.1.2.121144172813816296236123838971535175214;2.3195
2019;1.3.6.1.4.1.9590.100.1.2.384211731013575056733411790202193984219;1.3.6.1.4.1.9590.100.1.2.162016777813266403636728257511979252490;1.9514
2019;1.3.6.1.4.1.9590.100.1.2.49908082410502821603476023252182849617;1.3.6.1.4.1.9590.100.1.2.295030117612110217114744613740033837565;2.5509
2019;1.3.6.1.4.1.9590.100.1.2.336428094011386848442508115354285944135;1.3.6.1.4.1.9590.100.1.2.81823716011381757814089952421167364228;0.78216
2019;1.3.6.1.4.1.9590.100.1.2.157984229712709753318035997893318422587;1.3.6.1.4.1.9590.100.1.2.255052206611700788638057404561717301829;3.1833
2019;1.3.6.1.4.1.9590.100.1.2.91462520713869930608277441823915328274;1.3.6.1.4.1.9590.100.1.2.227327449612551826916026244183280970593;1.089
2019;1.3.6.1.4.1.9590.100.1.2.95099262611151451528078649923991479427;1.3.6.1.4.1.9590.100.1.2.156640277413327235505568992300166341098;3.5136
2019;1.3.6.1.4.1.9590.100.1.2.231780575310785990613900312890646775578;1.3.6.1.4.1.9590.100.1.2.302383480412871360932944308673252474093;1.8609
2019;1.3.6.1.4.1.9590.100.1.2.413228127711066035327571667833801742902;1.3.6.1.4.1.9590.100.1.2.16606484110272152338191085060192590675;6.4715
2019;1.3.6.1.4.1.9590.100.1.2.256760524412390563910148770632337212068;1.3.6.1.4.1.9590.100.1.2.415905246211145166842869899993427674080;13.8989
2019;1.3.6.1.4.1.9590.100.1.2.103291078813027775242637628413450553641;1.3.6.1.4.1.9590.100.1.2.101881783111453298834689919044196651089;16.8607
2019;1.3.6.1.4.1.9590.100.1.2.98382316412892638429358560474054925061;1.3.6.1.4.1.9590.100.1.2.378010056512735246126390744773232014621;10.7866
2019;1.3.6.1.4.1.9590.100.1.2.78823262311762158510607397364094214441;1.3.6.1.4.1.9590.100.1.2.202748059010331014912151807151383567784;16.8395
2019;1.3.6.1.4.1.9590.100.1.2.302202294413273435706254424770048573925;1.3.6.1.4.1.9590.100.1.2.59039948513051593041537959712526904960;2.3652
2019;1.3.6.1.4.1.9590.100.1.2.136879191911946592803656856483164116861;1.3.6.1.4.1.9590.100.1.2.244626336112060554801412246014122067328;0.65279
2019;1.3.6.1.4.1.9590.100.1.2.362954633810639543801129880762489335803;1.3.6.1.4.1.9590.100.1.2.368381759213289851620800142701802460115;1.9761
2019;1.3.6.1.4.1.9590.100.1.2.286440820013503669331600242463401363080;1.3.6.1.4.1.9590.100.1.2.289633779512530678136235521783080091111;8.836
2019;1.3.6.1.4.1.9590.100.1.2.107512047212378733525107859273053986302;1.3.6.1.4.1.9590.100.1.2.191490080611829395019797295500820037115;2.2412
2019;1.3.6.1.4.1.9590.100.1.2.406035562211517067105143517620109627902;1.3.6.1.4.1.9590.100.1.2.318623678911956521000906932942449085317;1.7271
2019;1.3.6.1.4.1.9590.100.1.2.409131409612772078137880692780873761939;1.3.6.1.4.1.9590.100.1.2.115613102212390710105411920943339242542;1.14
2019;1.3.6.1.4.1.9590.100.1.2.169685793112936685435142224930511570933;1.3.6.1.4.1.9590.100.1.2.212167821911296698933939040342629309811;1.6518
2019;1.3.6.1.4.1.9590.100.1.2.135951099910828420612340059041684788011;1.3.6.1.4.1.9590.100.1.2.276939911810403744526938508113849747746;1.4552
2019;1.3.6.1.4.1.9590.100.1.2.428908145412467455733216311611634708720;1.3.6.1.4.1.9590.100.1.2.136439420813115744902238701370275262874;1.6906
2019;1.3.6.1.4.1.9590.100.1.2.395406583511297172733105663243258673937;1.3.6.1.4.1.9590.100.1.2.259597633211523043413991512700339506223;1.4156
2019;1.3.6.1.4.1.9590.100.1.2.67974102612817692001460315053911915455;1.3.6.1.4.1.9590.100.1.2.403842160612043613804519515062995088237;1.2784
2019;1.3.6.1.4.1.9590.100.1.2.291885843311653450011069520833188427203;1.3.6.1.4.1.9590.100.1.2.397264184713803980006158378400886537018;1.3495
2019;1.3.6.1.4.1.9590.100.1.2.162700352811441528827642814921250609697;1.3.6.1.4.1.9590.100.1.2.374369276611217881818606209654068345208;2.8577
2019;1.3.6.1.4.1.9590.100.1.2.108201082012443096636643846651940161111;1.3.6.1.4.1.9590.100.1.2.255649556912456195926103625111244002235;1.5673
2019;1.3.6.1.4.1.9590.100.1.2.86880360710537091509043155811967872714;1.3.6.1.4.1.9590.100.1.2.108679632811195487131681468242834290089;1.5272
2019;1.3.6.1.4.1.9590.100.1.2.256231975211510680505813014023939383762;1.3.6.1.4.1.9590.100.1.2.187250976012621092525978613011522657471;0.32114
2019;1.3.6.1.4.1.9590.100.1.2.56342358711696993516562259590696669063;1.3.6.1.4.1.9590.100.1.2.26930066012094880714466303130573658056;1.5515
2019;1.3.6.1.4.1.9590.100.1.2.263582829812934457409811954100538425535;1.3.6.1.4.1.9590.100.1.2.289158198011615428930424954091570544959;0.2338
2019;1.3.6.1.4.1.9590.100.1.2.331536647612691385730599233753008582883;1.3.6.1.4.1.9590.100.1.2.80879782311390246613429930583975303044;1.5054
2019;1.3.6.1.4.1.9590.100.1.2.114777428713798752229855149110848771045;1.3.6.1.4.1.9590.100.1.2.339758109712580696225184685301924850191;1.1081
2019;1.3.6.1.4.1.9590.100.1.2.28418329812910843608456470343909774298;1.3.6.1.4.1.9590.100.1.2.164619953411431035215701623543938626737;1.1729
2019;1.3.6.1.4.1.9590.100.1.2.210445192212285845239873740040903120894;1.3.6.1.4.1.9590.100.1.2.165915866811855959429701167501978482972;1.5305
2019;1.3.6.1.4.1.9590.100.1.2.109757696412789345410692046663669358062;1.3.6.1.4.1.9590.100.1.2.96774423912825394210941761821706096017;1.5963
2019;1.3.6.1.4.1.9590.100.1.2.421829596311807898528580801893533088447;1.3.6.1.4.1.9590.100.1.2.19703070311130271330064355113447802261;0.83477
2019;1.3.6.1.4.1.9590.100.1.2.72543718911564662018360905480928640065;1.3.6.1.4.1.9590.100.1.2.143180860212485170336515350362274054232;2.6582
2019;1.3.6.1.4.1.9590.100.1.2.6006856412971499706246450420979828990;1.3.6.1.4.1.9590.100.1.2.56985903012810613027401319980827259904;1.8805
2019;1.3.6.1.4.1.9590.100.1.2.155352363410471015027000439472939245474;1.3.6.1.4.1.9590.100.1.2.227984664013432398631860156764187530530;0.98388
2019;1.3.6.1.4.1.9590.100.1.2.219329512812393970441116386693586460369;1.3.6.1.4.1.9590.100.1.2.222818301512105182612741193543884881460;1.1941
2019;1.3.6.1.4.1.9590.100.1.2.52755433512139660610620542852186571525;1.3.6.1.4.1.9590.100.1.2.301147120111792174226321760471991915291;1.6203
2019;1.3.6.1.4.1.9590.100.1.2.196472234912745207323492929890173777576;1.3.6.1.4.1.9590.100.1.2.290074839411001727842218098143430855483;0.84474
2019;1.3.6.1.4.1.9590.100.1.2.288031029813479088210928206352584384883;1.3.6.1.4.1.9590.100.1.2.160292427512805833328766230260466863787;1.3137
2019;1.3.6.1.4.1.9590.100.1.2.408229358911847976302159097852510220290;1.3.6.1.4.1.9590.100.1.2.65431276712359542604804123344227178965;3.8821
2019;1.3.6.1.4.1.9590.100.1.2.199629646612515021712388793923410884873;1.3.6.1.4.1.9590.100.1.2.143482028911290426631627936141428586829;0.6365
2019;1.3.6.1.4.1.9590.100.1.2.380407769811130247834522758443443485416;1.3.6.1.4.1.9590.100.1.2.191320159612858005603054122821266519239;1.6739
2019;1.3.6.1.4.1.9590.100.1.2.77264324113730782501097340530527895601;1.3.6.1.4.1.9590.100.1.2.294559076812166483331500888731672640123;1.0673
2019;1.3.6.1.4.1.9590.100.1.2.315203560610223567931537204663624485362;1.3.6.1.4.1.9590.100.1.2.282573010111775352529663640933002170675;1.5658
2019;1.3.6.1.4.1.9590.100.1.2.144256080412082548123386141692596807862;1.3.6.1.4.1.9590.100.1.2.26131427811984042830696488213029469606;1.5887
2019;1.3.6.1.4.1.9590.100.1.2.118113008912050115619343221000966718858;1.3.6.1.4.1.9590.100.1.2.238111572911283815131644033452504952182;0.75737
2019;1.3.6.1.4.1.9590.100.1.2.149037585212909986401659974563136916052;1.3.6.1.4.1.9590.100.1.2.374601009813986915430915247721510836154;0.51945
2019;1.3.6.1.4.1.9590.100.1.2.213789818911943669517669669640291658689;1.3.6.1.4.1.9590.100.1.2.52561540911999622732759704462687667525;18.1976
2019;1.3.6.1.4.1.9590.100.1.2.318324413311268784612451283782492749417;1.3.6.1.4.1.9590.100.1.2.142001843510153122106370796882884264806;21.2459
2019;1.3.6.1.4.1.9590.100.1.2.408192818712332463742917905112774366215;1.3.6.1.4.1.9590.100.1.2.158812604612901269800355754613013180437;16.2753
2019;1.3.6.1.4.1.9590.100.1.2.278595669113972568901221372482655413794;1.3.6.1.4.1.9590.100.1.2.399258947411504014820032395551740300875;20.502
2019;1.3.6.1.4.1.9590.100.1.2.272709028112462760539691680361553689734;1.3.6.1.4.1.9590.100.1.2.30435397411944354839234361872148201317;9.3891
2019;1.3.6.1.4.1.9590.100.1.2.421435707912448639828627065792123062238;1.3.6.1.4.1.9590.100.1.2.421358175312188729730666021490877555246;0.53215
2019;1.3.6.1.4.1.9590.100.1.2.35622460613560083521713530141461716423;1.3.6.1.4.1.9590.100.1.2.97951385711553851416123918242644559547;1.7165
2019;1.3.6.1.4.1.9590.100.1.2.112312846511665047306762366794206678061;1.3.6.1.4.1.9590.100.1.2.92363000112801627214361982941547142974;2.4427
2019;1.3.6.1.4.1.9590.100.1.2.70423949511058661422745982913067713832;1.3.6.1.4.1.9590.100.1.2.164729320811101971039682400422245259764;2.2239
2019;1.3.6.1.4.1.9590.100.1.2.6743250013137990736264510752810648296;1.3.6.1.4.1.9590.100.1.2.344587269511219049108414114971868804072;2.2347
2019;1.3.6.1.4.1.9590.100.1.2.320630345712801485442321537812861396678;1.3.6.1.4.1.9590.100.1.2.294388822612110677626191154161913596773;1.8685
2019;1.3.6.1.4.1.9590.100.1.2.99520399811622234419023758673128280722;1.3.6.1.4.1.9590.100.1.2.347670172911716363132127244012587104896;2.1549
2019;1.3.6.1.4.1.9590.100.1.2.276938905712115362115711026152322272759;1.3.6.1.4.1.9590.100.1.2.30432565512166232332397042522801501267;14.9055
